tanggal,hasil
2025-07-01,9252
2025-07-02,3737
2025-07-03,9257
2025-07-04,3998
2025-07-05,4032
2025-07-06,8599
2025-07-07,3729
2025-07-08,4524
2025-07-09,6578
2025-07-10,1769
2025-07-11,0998
2025-07-12,9573
2025-07-13,4039
2025-07-14,8211
2025-07-15,0588
2025-07-16,0983
2025-07-17,2357
2025-07-18,3492
2025-07-19,9035
2025-07-20,3756
2025-07-21,5795
2025-07-22,8764
2025-07-23,4012
2025-07-24,8676
2025-07-25,0366
2025-07-26,3378
2025-07-27,5175
2025-07-28,9046
2025-07-29,3936
2025-07-30,4089
2025-07-31,7165
2025-08-01,7574
